time,Open,High,Low,Close,Volume
09.01.2018 15:30:00.000 GMT+0430,1.19278,1.19298,1.19209,1.19282,9756.8604
09.01.2018 16:30:00.000 GMT+0430,1.19282,1.19355,1.19251,1.19334,9459.8799
09.01.2018 17:30:00.000 GMT+0430,1.19322,1.19336,1.19156,1.19209,13257.2002
09.01.2018 18:30:00.000 GMT+0430,1.19209,1.19329,1.19171,1.19178,13160.1201
09.01.2018 19:30:00.000 GMT+0430,1.19178,1.19334,1.19176,1.19296,14442.4805
09.01.2018 20:30:00.000 GMT+0430,1.19298,1.19313,1.19182,1.19210,13144.4404
09.01.2018 21:30:00.000 GMT+0430,1.19210,1.19256,1.19179,1.19210,8817.8799
09.01.2018 22:30:00.000 GMT+0430,1.19212,1.19313,1.19165,1.19306,6974.5801
09.01.2018 23:30:00.000 GMT+0430,1.19304,1.19357,1.19248,1.19319,7015
10.01.2018 00:30:00.000 GMT+0430,1.19319,1.19382,1.19297,1.19373,7305.23
10.01.2018 01:30:00.000 GMT+0430,1.19375,1.19390,1.19356,1.19363,4512.0298
10.01.2018 02:30:00.000 GMT+0430,1.19363,1.19382,1.19348,1.19354,1818
10.01.2018 03:30:00.000 GMT+0430,1.19353,1.19360,1.19276,1.19284,3991.53
10.01.2018 04:30:00.000 GMT+0430,1.19282,1.19385,1.19282,1.19375,6556.9102
10.01.2018 05:30:00.000 GMT+0430,1.19375,1.19451,1.19328,1.19451,8430.2197
10.01.2018 06:30:00.000 GMT+0430,1.19450,1.19488,1.19403,1.19483,6102.7798
10.01.2018 07:30:00.000 GMT+0430,1.19479,1.19494,1.19409,1.19418,3782.99
10.01.2018 08:30:00.000 GMT+0430,1.19418,1.19427,1.19357,1.19360,5133.2598
10.01.2018 09:30:00.000 GMT+0430,1.19360,1.19414,1.19269,1.19278,5845.9102
10.01.2018 10:30:00.000 GMT+0430,1.19279,1.19341,1.19231,1.19290,9371.8398
10.01.2018 11:30:00.000 GMT+0430,1.19289,1.19448,1.19276,1.19347,13847.8301
10.01.2018 12:30:00.000 GMT+0430,1.19356,1.19549,1.19342,1.19461,12693.1699
10.01.2018 13:30:00.000 GMT+0430,1.19462,1.19492,1.19380,1.19387,11462.5098
10.01.2018 14:30:00.000 GMT+0430,1.19387,1.20002,1.19315,1.19944,19305.0508
10.01.2018 15:30:00.000 GMT+0430,1.19945,1.20162,1.19871,1.20056,17896.2305
10.01.2018 16:30:00.000 GMT+0430,1.20055,1.20179,1.19957,1.19978,16236.1699
10.01.2018 17:30:00.000 GMT+0430,1.19979,1.20026,1.19900,1.19948,15195.5
10.01.2018 18:30:00.000 GMT+0430,1.19949,1.20070,1.19731,1.19856,16633.4707
10.01.2018 19:30:00.000 GMT+0430,1.19858,1.19962,1.19771,1.19826,14876.5996
10.01.2018 20:30:00.000 GMT+0430,1.19826,1.19838,1.19555,1.19583,15336.7197
10.01.2018 21:30:00.000 GMT+0430,1.19579,1.19650,1.19511,1.19601,11264.5098
10.01.2018 22:30:00.000 GMT+0430,1.19602,1.19677,1.19555,1.19586,10033.1201
10.01.2018 23:30:00.000 GMT+0430,1.19586,1.19594,1.19402,1.19576,12163.9004
11.01.2018 00:30:00.000 GMT+0430,1.19573,1.19653,1.19542,1.19566,10655.7002
11.01.2018 01:30:00.000 GMT+0430,1.19566,1.19583,1.19470,1.19471,4598.6299
11.01.2018 02:30:00.000 GMT+0430,1.19470,1.19527,1.19458,1.19493,2946.3
11.01.2018 03:30:00.000 GMT+0430,1.19493,1.19589,1.19491,1.19558,2968.8899
11.01.2018 04:30:00.000 GMT+0430,1.19557,1.19602,1.19474,1.19601,7798.48
11.01.2018 05:30:00.000 GMT+0430,1.19600,1.19627,1.19540,1.19594,8648.5703
11.01.2018 06:30:00.000 GMT+0430,1.19594,1.19690,1.19562,1.19666,5763.3799
11.01.2018 07:30:00.000 GMT+0430,1.19664,1.19700,1.19450,1.19533,9112.25
11.01.2018 08:30:00.000 GMT+0430,1.19535,1.19545,1.19412,1.19468,6869.0098
11.01.2018 09:30:00.000 GMT+0430,1.19469,1.19540,1.19413,1.19523,6677.54
11.01.2018 10:30:00.000 GMT+0430,1.19523,1.19523,1.19363,1.19419,7460.0801
11.01.2018 11:30:00.000 GMT+0430,1.19420,1.19499,1.19295,1.19398,11578.6396
11.01.2018 12:30:00.000 GMT+0430,1.19398,1.19419,1.19291,1.19379,11423.4902
11.01.2018 13:30:00.000 GMT+0430,1.19379,1.19495,1.19331,1.19478,11395.9805
11.01.2018 14:30:00.000 GMT+0430,1.19478,1.19516,1.19389,1.19464,10940.1699
11.01.2018 15:30:00.000 GMT+0430,1.19466,1.19506,1.19405,1.19436,10474.2598
11.01.2018 16:30:00.000 GMT+0430,1.19435,1.20128,1.19363,1.20037,20331.4297
11.01.2018 17:30:00.000 GMT+0430,1.20041,1.20347,1.20026,1.20314,23151.6602
11.01.2018 18:30:00.000 GMT+0430,1.20312,1.20488,1.20308,1.20476,17292.1191
11.01.2018 19:30:00.000 GMT+0430,1.20476,1.20589,1.20394,1.20489,17227.3691
11.01.2018 20:30:00.000 GMT+0430,1.20491,1.20495,1.20321,1.20343,13956.9199
11.01.2018 21:30:00.000 GMT+0430,1.20344,1.20409,1.20311,1.20377,10029.0801
11.01.2018 22:30:00.000 GMT+0430,1.20377,1.20474,1.20301,1.20368,10295.1797
11.01.2018 23:30:00.000 GMT+0430,1.20369,1.20457,1.20340,1.20389,7736.8701
12.01.2018 00:30:00.000 GMT+0430,1.20388,1.20399,1.20276,1.20308,6108.2598
12.01.2018 01:30:00.000 GMT+0430,1.20308,1.20346,1.20282,1.20319,5419.96
12.01.2018 02:30:00.000 GMT+0430,1.20319,1.20399,1.20311,1.20382,2751.9199
12.01.2018 03:30:00.000 GMT+0430,1.20383,1.20438,1.20308,1.20427,4350.0298
12.01.2018 04:30:00.000 GMT+0430,1.20427,1.20666,1.20415,1.20583,10347.21
12.01.2018 05:30:00.000 GMT+0430,1.20582,1.20612,1.20430,1.20452,8110.4302
12.01.2018 06:30:00.000 GMT+0430,1.20451,1.20503,1.20419,1.20468,5703.2002
12.01.2018 07:30:00.000 GMT+0430,1.20467,1.20528,1.20453,1.20515,5560.1401
12.01.2018 08:30:00.000 GMT+0430,1.20515,1.20546,1.20456,1.20535,4284.29
12.01.2018 09:30:00.000 GMT+0430,1.20535,1.20573,1.20401,1.20441,5401.8398
12.01.2018 10:30:00.000 GMT+0430,1.20441,1.20522,1.20423,1.20482,7123.71
12.01.2018 11:30:00.000 GMT+0430,1.20482,1.20751,1.20455,1.20625,13934.9404
12.01.2018 12:30:00.000 GMT+0430,1.20627,1.21205,1.20521,1.21112,18078.1992
12.01.2018 13:30:00.000 GMT+0430,1.21113,1.21368,1.21109,1.21254,17628.6094
12.01.2018 14:30:00.000 GMT+0430,1.21253,1.21290,1.21145,1.21189,12672.8398
12.01.2018 15:30:00.000 GMT+0430,1.21190,1.21354,1.21189,1.21243,11221.0898
12.01.2018 16:30:00.000 GMT+0430,1.21243,1.21380,1.21226,1.21333,12590.1104
12.01.2018 17:30:00.000 GMT+0430,1.21336,1.21484,1.21121,1.21199,22269.7695
12.01.2018 18:30:00.000 GMT+0430,1.21199,1.21487,1.21114,1.21378,20491.2305
12.01.2018 19:30:00.000 GMT+0430,1.21377,1.21550,1.21327,1.21481,19269.3008
12.01.2018 20:30:00.000 GMT+0430,1.21480,1.21555,1.21220,1.21301,19082.5703
12.01.2018 21:30:00.000 GMT+0430,1.21301,1.21369,1.21240,1.21344,14654.9697
12.01.2018 22:30:00.000 GMT+0430,1.21344,1.21665,1.21328,1.21623,13950.5996
12.01.2018 23:30:00.000 GMT+0430,1.21622,1.21848,1.21605,1.21809,14894.0098
13.01.2018 00:30:00.000 GMT+0430,1.21812,1.21885,1.21766,1.21870,10373.0303
13.01.2018 01:30:00.000 GMT+0430,1.21871,1.22184,1.21869,1.21993,8846.0195
13.01.2018 02:30:00.000 GMT+0430,1.21993,1.21993,1.21993,1.21993,0
13.01.2018 03:30:00.000 GMT+0430,1.21993,1.21993,1.21993,1.21993,0
13.01.2018 04:30:00.000 GMT+0430,1.21993,1.21993,1.21993,1.21993,0
13.01.2018 05:30:00.000 GMT+0430,1.21993,1.21993,1.21993,1.21993,0
13.01.2018 06:30:00.000 GMT+0430,1.21993,1.21993,1.21993,1.21993,0
13.01.2018 07:30:00.000 GMT+0430,1.21993,1.21993,1.21993,1.21993,0
13.01.2018 08:30:00.000 GMT+0430,1.21993,1.21993,1.21993,1.21993,0
